id;system_id;type;description;priority;status;create_date;update_date
1;out-of-the-box Adaptive users;Quetzal Reactive HTTP;Granite;deliverables Afghanistan Planner;Tasty Seychelles Rupee blue;2021-02-22T19:14:09;2021-02-22T23:32:27
2;invoice Norwegian Krone;executive;interfaces Concrete;payment;synergies Fish frictionless;2021-02-23T07:32:34;2021-02-23T06:07:16
3;bypass Applications e-commerce;Toys;Metal;maroon;payment;2021-02-23T05:43:18;2021-02-23T11:15:57
4;Incredible;driver;Computer benchmark Crest;Credit Card Account Kids North Dakota;Generic Cotton;2021-02-22T19:34:48;2021-02-23T09:16:26
5;SAS;Group Balanced;Small Unbranded Frozen Chair;Colombian Peso Unidad de Valor Real Bike Views;Berkshire systems Credit Card Account;2021-02-23T05:27:33;2021-02-22T23:34:37
6;directional;matrix Innovative;utilize Checking Account;Investor schemas;Customer Checking Account Fully-configurable;2021-02-23T06:34:17;2021-02-22T15:24:51
7;Rustic Frozen Keyboard Gorgeous;EXE;wireless Beauty Computer;Interactions;transmit;2021-02-22T19:27:01;2021-02-23T07:56:42
8;bluetooth;XML;payment hacking Baby;Dynamic Cambridgeshire Cotton;Assurance deposit;2021-02-23T05:56:15;2021-02-22T17:49:39
9;Small Fresh Chicken;Plastic;system District Cheese;magenta;Bridge;2021-02-23T00:10:53;2021-02-23T07:02:55
10;human-resource;impactful neural;Centers Indian Rupee;Handmade Soft Pizza Soft;Consultant emulation;2021-02-23T05:07:52;2021-02-23T06:27:46
