id;url;service_account;service_account_secret;system_id
1;https://conrad.info;interface;Handcrafted Reverse-engineered Accounts;virtual Missouri Brunei Darussalam
2;https://damien.name;deposit Unbranded Metrics;transmitting;experiences
3;http://jazmin.org;sensor Wooden virtual;Forward Avon;Ergonomic Frozen Cheese Small Fantastic
4;http://marquis.org;Generic Fresh Pants Baby cross-media;ADP;Democratic People's Republic of Korea azure
5;https://norwood.com;COM Developer disintermediate;Sierra Leone system;frictionless Sports one-to-one
6;https://raymundo.info;UIC-Franc Shirt context-sensitive;Spain Licensed Granite Keyboard;Buckinghamshire XSS
7;https://ally.net;magnetic;Ergonomic Fresh Bike;transition algorithm
8;https://jamar.biz;synthesize;platforms lime sky blue;Sausages THX
9;http://katarina.biz;payment;virtual Awesome Rubber Shirt Unbranded Granite Soap;Credit Card Account Personal Loan Account Function-based
10;http://reid.com;architect Ball Alaska;connect;Music Usability
