id;level;status;length_in_months;start_date;notes;project_id
1;GOLD;ACTIVE;61653;2021-02-22T23:53:32;project;1
2;PLATINUM;PENDING;97678;2021-02-23T01:32:38;policy Chips Soft;2
3;PLATINUM;ACTIVE;66618;2021-02-22T18:10:02;Wallis and Futuna;3
4;PLATINUM;EXPIRED;82018;2021-02-22T18:44:15;embrace Producer responsive;4
5;GOLD;ACTIVE;13793;2021-02-23T04:52:46;invoice Central;5
6;GOLD;EXPIRED;50717;2021-02-23T11:42:06;aggregate Steel;6
7;GOLD;ACTIVE;16588;2021-02-23T07:57:25;Manor Pre-emptive;7
8;PLATINUM;REQUESTED;1391;2021-02-22T18:18:32;red;8
9;GOLD;PENDING;46344;2021-02-22T17:46:14;24 hour Concrete Ports;9
10;PLATINUM;ACTIVE;2371;2021-02-22T16:44:22;utilize Borders Regional;10
