id;name;partner_number;notes
1;Borders;monitor;synergistic
2;parsing;synthesizing;payment Berkshire hack
3;killer;SMTP;Officer cross-platform SMS
4;innovate Web synthesize;Jamaica blue;generating streamline
5;middleware;Multi-layered Computers Sleek Metal Bacon;Berkshire Clothing
6;Land Montserrat;exploit Home Loan Account North Dakota;encoding
7;calculating Falkland Islands Pound;Kids Walks Chicken;Frozen Tennessee
8;Operations Web Fish;New Mexico Streamlined;initiatives Corporate
9;Buckinghamshire;override;Handcrafted cultivate
10;connect;quantify;Industrial Granite value-added
